Lneg_protein,ProteinID_isoformremoved,percent_identity,BLASTPProteinMatch,BLASTP_annotation,E-value,Bit-score
Lneg_g01020_i1,Lneg_g01020,56.019,gb|KMQ89009.1|,"reverse transcriptase, partial [Lasius niger]",0,665
Lneg_g01025_i1,Lneg_g01025,59.722,ref|XP_026830076.1|,uncharacterized protein LOC113563111 [Ooceraea biroi],4.32E-25,97.4
Lneg_g01026_i4,Lneg_g01026,57.356,ref|XP_012232546.1|,PREDICTED: UDP-glucuronosyltransferase 2B7-like [Linepithema humile],0,598
Lneg_g01027_i1,Lneg_g01027,29.496,ref|XP_012215730.1|,PREDICTED: uncharacterized protein LOC105668124 [Linepithema humile],0.0000022,49.7
Lneg_g01035_i1,Lneg_g01035,36.875,gb|KMQ81470.1|,"glucose-dependent insulinotropic, partial [Lasius niger]",0.00000022,53.5
Lneg_g01036_i1,Lneg_g01036,62.687,gb|KMQ85851.1|,glutamine-rich protein 2 [Lasius niger],1.22E-11,59.7
Lneg_g01038_i1,Lneg_g01038,42.353,ref|XP_039310272.1|,uncharacterized protein LOC105200695 [Solenopsis invicta],4.48E-20,85.9
Lneg_g01039_i1,Lneg_g01039,42.487,ref|XP_026829898.1|,uncharacterized protein LOC113563060 [Ooceraea biroi],4.11E-46,154
Lneg_g01041_i1,Lneg_g01041,95.118,ref|XP_011067503.1|,PREDICTED: C-Maf-inducing protein-like [Acromyrmex echinatior],0,1163
Lneg_g01044_i1,Lneg_g01044,60.173,ref|XP_011334707.1|,uncharacterized protein LOC105277782 [Ooceraea biroi],4.34E-112,331
Lneg_g01046_i1,Lneg_g01046,53.191,ref|XP_011344232.1|,uncharacterized protein LOC105283293 [Ooceraea biroi],1.9E-16,70.5
Lneg_g01051_i1,Lneg_g01051,78.865,ref|XP_011331661.1|,putative glycerol kinase 5 [Ooceraea biroi],0,852
Lneg_g01052_i1,Lneg_g01052,61.538,ref|XP_024872643.1|,uncharacterized protein LOC112455136 [Temnothorax curvispinosus],8.65E-41,135
Lneg_g01053_i1,Lneg_g01053,98.678,gb|KMQ91933.1|,hypothetical protein RF55_8144 [Lasius niger],1.59E-166,460
Lneg_g01054_i1,Lneg_g01054,69.689,ref|XP_011163466.2|,uncharacterized protein LOC105198457 [Solenopsis invicta],7.66E-176,497
Lneg_g01055_i1,Lneg_g01055,47.737,ref|XP_026828398.1|,uncharacterized protein LOC113562630 [Ooceraea biroi],1.96E-43,148
Lneg_g01056_i1,Lneg_g01056,66.942,ref|XP_011163427.1|,uncharacterized protein LOC105198422 [Solenopsis invicta],1.95E-48,153
Lneg_g01057_i1,Lneg_g01057,99.795,gb|KMQ95253.1|,tyrosine-protein phosphatase non-receptor type 61f-like protein [Lasius niger],0,1018
Lneg_g01058_i1,Lneg_g01058,35.244,ref|NP_649862.1|,uncharacterized protein Dmel_CG11986 [Drosophila melanogaster],2.64E-63,207
Lneg_g01061_i1,Lneg_g01061,81.11,ref|XP_024890915.1|,uncharacterized protein LOC112466822 isoform X1 [Temnothorax curvispinosus],0,1333
Lneg_g01062_i1,Lneg_g01062,98.137,gb|KMQ94565.1|,atp synthase subunit mitochondrial [Lasius niger],6.7E-114,322
Lneg_g01063_i1,Lneg_g01063,66.176,ref|XP_039311368.1|,uncharacterized protein LOC105194081 [Solenopsis invicta],0,602
Lneg_g01067_i1,Lneg_g01067,55.307,ref|XP_018043564.1|,PREDICTED: dystrophin isoform X9 [Atta colombica],3.72E-32,128
Lneg_g01068_i1,Lneg_g01068,27.273,gb|KMQ88283.1|,protein preli-like protein [Lasius niger],3.03E-14,72
Lneg_g01069_i1,Lneg_g01069,87.897,ref|XP_012225660.1|,PREDICTED: LOW QUALITY PROTEIN: utrophin-like [Linepithema humile],0,4947
Lneg_g01071_i1,Lneg_g01071,93.827,ref|XP_026831416.1|,soluble guanylate cyclase 89Db [Ooceraea biroi],1.99E-47,166
Lneg_g01072_i1,Lneg_g01072,34.562,ref|NP_572437.2|,uncharacterized protein Dmel_CG2256 [Drosophila melanogaster],1.48E-33,125
Lneg_g01073_i1,Lneg_g01073,94.167,gb|KMQ85768.1|,hypothetical protein RF55_15484 [Lasius niger],5.2E-138,405
Lneg_g01074_i1,Lneg_g01074,77.419,gb|KMQ85108.1|,hypothetical protein RF55_16540 [Lasius niger],0.00000076,49.7
Lneg_g01076_i1,Lneg_g01076,45,ref|XP_024882723.1|,uncharacterized protein LOC112461637 [Temnothorax curvispinosus],6.34E-17,77.4
Lneg_g01077_i1,Lneg_g01077,88.993,ref|XP_011330834.1|,pancreatic triacylglycerol lipase [Ooceraea biroi],0,1019
Lneg_g01078_i1,Lneg_g01078,94.128,ref|XP_018057558.1|,PREDICTED: pancreatic triacylglycerol lipase-like [Atta colombica],0,1112
Lneg_g01079_i1,Lneg_g01079,95.656,gb|KMQ95427.1|,rho gtpase-activating protein [Lasius niger],0,2076
Lneg_g01082_i1,Lneg_g01082,73.077,ref|XP_011342603.2|,"3'(2'),5'-bisphosphate nucleotidase 1 [Ooceraea biroi]",8.58E-18,76.6
Lneg_g01084_i1,Lneg_g01084,74.847,ref|XP_001121303.2|,hemicentin-1 isoform X2 [Apis mellifera],7.34E-82,247
Lneg_g01087_i1,Lneg_g01087,70.968,ref|XP_039312737.1|,fatty acid synthase [Solenopsis invicta],2.8E-27,104
Lneg_g01095_i1,Lneg_g01095,80.422,ref|XP_011067844.1|,"PREDICTED: trans-1,2-dihydrobenzene-1,2-diol dehydrogenase-like [Acromyrmex echinatior]",0,577
Lneg_g01096_i1,Lneg_g01096,32.692,ref|XP_012217646.1|,PREDICTED: mitochondrial inner membrane protease subunit 2 [Linepithema humile],1.33E-19,82.4
Lneg_g01097_i1,Lneg_g01097,87.925,ref|XP_039305916.1|,terminal nucleotidyltransferase 4B [Solenopsis invicta],0,945
Lneg_g01098_i1,Lneg_g01098,85.366,ref|XP_011345863.1|,"cytochrome c oxidase subunit 4 isoform 1, mitochondrial [Ooceraea biroi]",6.29E-103,294
Lneg_g01099_i1,Lneg_g01099,68.72,ref|XP_001121946.2|,arginine/serine-rich protein PNISR [Apis mellifera],0,864
Lneg_g01101_i1,Lneg_g01101,84.581,ref|XP_018058219.1|,PREDICTED: uncharacterized protein LOC108693674 [Atta colombica],5.4E-139,390
Lneg_g01102_i1,Lneg_g01102,74.755,ref|XP_024879912.1|,DNA polymerase eta [Temnothorax curvispinosus],0,1216
Lneg_g01103_i1,Lneg_g01103,85.577,ref|XP_024879914.1|,protein arginine N-methyltransferase 1 [Temnothorax curvispinosus],0,901
Lneg_g01104_i1,Lneg_g01104,52.846,ref|XP_039308748.1|,uncharacterized protein LOC120358467 [Solenopsis invicta],1.14E-40,143
Lneg_g01105_i1,Lneg_g01105,99.32,gb|KMQ93403.1|,nedd8-activating enzyme e1 catalytic subunit [Lasius niger],0,914
Lneg_g01106_i1,Lneg_g01106,31.646,gb|KMQ89247.1|,wd40 repeat-containing protein [Lasius niger],5.68E-15,72.8
Lneg_g01107_i1,Lneg_g01107,64.583,gb|KMQ89221.1|,gag-pol polyprotein [Lasius niger],8.27E-12,62.4
Lneg_g01108_i1,Lneg_g01108,80.57,ref|XP_011335068.2|,uncharacterized protein LOC105277995 [Ooceraea biroi],0,645
Lneg_g01109_i1,Lneg_g01109,96.491,ref|XP_011165803.1|,uncharacterized protein LOC105200108 [Solenopsis invicta],9.11E-165,456
Lneg_g01110_i1,Lneg_g01110,99.475,gb|KMQ94673.1|,eukaryotic translation initiation factor 3 subunit a [Lasius niger],0,2294
Lneg_g01111_i1,Lneg_g01111,30.247,ref|NP_572262.1|,uncharacterized protein Dmel_CG3108 [Drosophila melanogaster],0.000000215,57
Lneg_g01113_i2,Lneg_g01113,62.619,ref|XP_016767355.2|,synaptic vesicle glycoprotein 2C-like [Apis mellifera],0,703
Lneg_g01114_i1,Lneg_g01114,97.813,ref|XP_011063494.1|,PREDICTED: cleavage and polyadenylation specificity factor 73 [Acromyrmex echinatior],0,1404
Lneg_g01115_i1,Lneg_g01115,86.522,ref|XP_024885093.1|,DNA polymerase theta-like [Temnothorax curvispinosus],1.3E-136,425
Lneg_g01116_i1,Lneg_g01116,60,ref|XP_039303705.1|,uncharacterized protein LOC113005670 [Solenopsis invicta],3.04E-09,57.4
Lneg_g01117_i1,Lneg_g01117,96.701,gb|KMQ92813.1|,reticulocyte-binding protein 2-like protein [Lasius niger],0,947
Lneg_g01118_i1,Lneg_g01118,77.778,gb|KMQ94219.1|,hypothetical protein RF55_5640 [Lasius niger],1.99E-08,51.2
Lneg_g01119_i1,Lneg_g01119,45.902,ref|XP_011155707.1|,uncharacterized protein LOC105193076 [Solenopsis invicta],0.00000198,44.7
Lneg_g01120_i1,Lneg_g01120,73.077,gb|KMQ94219.1|,hypothetical protein RF55_5640 [Lasius niger],0.00000618,44.7
Lneg_g01123_i1,Lneg_g01123,81.429,ref|XP_024871180.1|,uncharacterized protein LOC112454174 [Temnothorax curvispinosus],1.06E-160,455
Lneg_g01128_i6,Lneg_g01128,22.222,ref|XP_011065259.1|,PREDICTED: uncharacterized protein LOC105152590 [Acromyrmex echinatior],0.00000405,52
Lneg_g01130_i1,Lneg_g01130,43.443,ref|XP_026294941.1|,tectonic-3 [Apis mellifera],2.59E-49,176
Lneg_g01131_i1,Lneg_g01131,85.465,ref|XP_011069287.1|,PREDICTED: tectonic-3-like [Acromyrmex echinatior],7.45E-105,321
Lneg_g01133_i1,Lneg_g01133,100,gb|KMQ89153.1|,molybdopterin synthase catalytic subunit-like protein [Lasius niger],1.42E-105,304
Lneg_g01134_i1,Lneg_g01134,99.239,gb|KMQ96208.1|,protein abrupt-like isoform x3 protein [Lasius niger],0,809
Lneg_g01135_i1,Lneg_g01135,40.367,ref|NP_650070.1|,"ninaG, isoform A [Drosophila melanogaster]",8.79E-114,353
Lneg_g01136_i1,Lneg_g01136,63.218,ref|NP_650073.1|,ribosomal protein L24-like [Drosophila melanogaster],1.27E-76,229
Lneg_g01137_i1,Lneg_g01137,77.358,ref|XP_039303556.1|,uncharacterized protein LOC120357424 [Solenopsis invicta],1.87E-37,127
Lneg_g01140_i1,Lneg_g01140,29.843,ref|XP_024884434.1|,sperm-associated antigen 6-like [Temnothorax curvispinosus],1.15E-16,80.1
Lneg_g01141_i1,Lneg_g01141,79.476,ref|XP_018060034.1|,PREDICTED: protein phosphatase 1 regulatory subunit 3B-A isoform X1 [Atta colombica],2.04E-128,367
Lneg_g01144_i1,Lneg_g01144,88.235,ref|XP_024892919.1|,uncharacterized protein LOC112468112 [Temnothorax curvispinosus],0,631
Lneg_g01145_i1,Lneg_g01145,63.359,ref|NP_650196.1|,uncharacterized protein Dmel_CG5641 [Drosophila melanogaster],1.39E-164,469
Lneg_g01146_i1,Lneg_g01146,92.086,gb|KMQ95462.1|,meiosis-specific nuclear structural protein 1-like protein [Lasius niger],1.71E-170,482
Lneg_g01148_i1,Lneg_g01148,52.301,ref|XP_011061993.1|,PREDICTED: probable G-protein coupled receptor Mth-like 3 isoform X2 [Acromyrmex echinatior],7.41E-68,221
Lneg_g01149_i1,Lneg_g01149,69.484,ref|XP_011341261.1|,flavin-containing monooxygenase FMO GS-OX4 [Ooceraea biroi],0,612
Lneg_g01150_i1,Lneg_g01150,99.061,gb|KMQ93902.1|,eukaryotic translation initiation factor 4e type 3-like protein [Lasius niger],3.88E-161,445
Lneg_g01151_i1,Lneg_g01151,83.955,ref|XP_024888326.1|,rhythmically expressed gene 5 protein [Temnothorax curvispinosus],7.29E-165,459
Lneg_g01152_i1,Lneg_g01152,51.852,ref|XP_026827174.1|,uncharacterized protein LOC113562318 [Ooceraea biroi],8.31E-08,47
Lneg_g01158_i1,Lneg_g01158,97.994,gb|KMQ94681.1|,rna polymerase ii elongation factor ell [Lasius niger],0,1398
Lneg_g01159_i1,Lneg_g01159,94.628,ref|XP_012233037.1|,PREDICTED: stress-induced-phosphoprotein 1-like [Linepithema humile],7.17E-175,483
Lneg_g01160_i1,Lneg_g01160,94.912,gb|KMQ90372.1|,integrator complex subunit 3 [Lasius niger],0,2101
Lneg_g01163_i1,Lneg_g01163,66.572,ref|XP_006559519.2|,transmembrane protein 26 [Apis mellifera],1.39E-130,384
Lneg_g01166_i1,Lneg_g01166,86.704,ref|XP_024873526.1|,uncharacterized protein LOC112455677 [Temnothorax curvispinosus],0,903
Lneg_g01168_i1,Lneg_g01168,97.169,gb|KMQ94169.1|,hypothetical protein RF55_5690 [Lasius niger],0,2392
Lneg_g01169_i1,Lneg_g01169,55.673,ref|XP_011168870.2|,uncharacterized protein LOC105202174 [Solenopsis invicta],9.04E-121,355
Lneg_g01170_i1,Lneg_g01170,87.193,ref|XP_024891426.1|,uncharacterized protein LOC112467176 [Temnothorax curvispinosus],0,937
Lneg_g01171_i1,Lneg_g01171,67.437,ref|XP_039309390.1|,receptor-type tyrosine-protein phosphatase U [Solenopsis invicta],0,2683
Lneg_g01172_i1,Lneg_g01172,75.758,gb|KMQ95334.1|,e3 sumo-protein ligase 2 [Lasius niger],1.03E-25,105
Lneg_g01174_i1,Lneg_g01174,56.085,ref|XP_026828659.1|,uncharacterized protein LOC105285002 [Ooceraea biroi],2.47E-66,209
Lneg_g01175_i1,Lneg_g01175,93.851,ref|XP_011343543.1|,transmembrane protein KIAA1109 isoform X3 [Ooceraea biroi],0,608
Lneg_g01180_i1,Lneg_g01180,100,gb|KMQ96987.1|,40s ribosomal protein s4 [Lasius niger],0,535
Lneg_g01181_i1,Lneg_g01181,90.019,ref|XP_024880294.1|,probable tubulin polyglutamylase TTLL2 [Temnothorax curvispinosus],0,994
Lneg_g01182_i1,Lneg_g01182,88.538,ref|XP_039311630.1|,PDZ and LIM domain protein Zasp isoform X7 [Solenopsis invicta],0,1085
Lneg_g01183_i1,Lneg_g01183,86.121,ref|XP_026827872.1|,uncharacterized protein LOC105275765 [Ooceraea biroi],2.82E-139,428
Lneg_g01184_i2,Lneg_g01184,50.718,ref|XP_026827872.1|,uncharacterized protein LOC105275765 [Ooceraea biroi],0,865
Lneg_g01185_i1,Lneg_g01185,66.766,ref|XP_012216310.1|,PREDICTED: deoxyribose-phosphate aldolase [Linepithema humile],1.89E-158,450
Lneg_g01186_i3,Lneg_g01186,90.377,gb|KMQ89476.1|,atpase n2b-like protein [Lasius niger],0,874
Lneg_g01187_i1,Lneg_g01187,94.118,ref|XP_011169581.1|,rab-like protein 3 [Solenopsis invicta],5.56E-157,437
Lneg_g01188_i1,Lneg_g01188,93.411,ref|XP_011159130.1|,exportin-6-B [Solenopsis invicta],0,2010
Lneg_g01189_i1,Lneg_g01189,59.551,ref|XP_026825401.1|,uncharacterized protein LOC113561937 [Ooceraea biroi],3.2E-65,200
Lneg_g01190_i1,Lneg_g01190,88.931,ref|XP_011163173.1|,pre-mRNA 3'-end-processing factor FIP1 [Solenopsis invicta],0,717
Lneg_g01191_i1,Lneg_g01191,98.81,gb|KMQ90824.1|,"pre-mrna 3 -end-processing factor fip1, partial [Lasius niger]",8.1E-50,168
Lneg_g01192_i1,Lneg_g01192,96.77,gb|KMR04758.1|,hypothetical protein RF55_480 [Lasius niger],0,4176
Lneg_g01193_i1,Lneg_g01193,79.452,ref|XP_024888446.1|,"protein PET100 homolog, mitochondrial [Temnothorax curvispinosus]",9.12E-38,123
Lneg_g01194_i1,Lneg_g01194,96.552,ref|XP_011169096.2|,sestrin-3 [Solenopsis invicta],0,894
Lneg_g01197_i1,Lneg_g01197,65.333,ref|XP_011052511.1|,PREDICTED: myeloid leukemia factor isoform X1 [Acromyrmex echinatior],1.09E-19,86.7
Lneg_g01198_i1,Lneg_g01198,78.063,ref|XP_006566830.1|,uncharacterized protein LOC409595 [Apis mellifera],0,591
Lneg_g01199_i1,Lneg_g01199,32.484,ref|NP_524827.1|,cannonball [Drosophila melanogaster],1.52E-95,317
Lneg_g01200_i1,Lneg_g01200,86.036,ref|XP_024876358.1|,NCK-interacting protein with SH3 domain [Temnothorax curvispinosus],0,1156
Lneg_g01201_i2,Lneg_g01201,100,gb|KMQ92745.1|,troponin isoform 2-like protein [Lasius niger],9.99E-96,275
Lneg_g01202_i1,Lneg_g01202,60.256,ref|XP_026299710.1|,uncharacterized protein LOC113219119 [Apis mellifera],2.81E-26,94.4
Lneg_g01203_i1,Lneg_g01203,98.466,gb|KMQ92950.1|,protein tipin-like protein [Lasius niger],0,657
Lneg_g01204_i1,Lneg_g01204,92.308,ref|NP_611528.1|,uncharacterized protein Dmel_CG9344 [Drosophila melanogaster],3.18E-49,152
Lneg_g01208_i1,Lneg_g01208,54.839,gb|KMQ91294.1|,hypothetical protein RF55_8861 [Lasius niger],2.49E-22,92
Lneg_g01212_i1,Lneg_g01212,100,gb|KMQ92871.1|,"venom dipeptidyl peptidase 4-like protein, partial [Lasius niger]",1.27E-47,148
Lneg_g01213_i1,Lneg_g01213,57.48,ref|XP_024877007.1|,uncharacterized protein LOC112457922 [Temnothorax curvispinosus],2.44E-54,169
Lneg_g01215_i1,Lneg_g01215,93.307,ref|XP_024893706.1|,solute carrier organic anion transporter family member 3A1 [Temnothorax curvispinosus],0,1444
Lneg_g01220_i1,Lneg_g01220,36.102,ref|XP_039308538.1|,uncharacterized protein LOC105204347 [Solenopsis invicta],3.67E-55,185
Lneg_g01222_i1,Lneg_g01222,60,ref|XP_039307744.1|,uncharacterized protein LOC113006067 [Solenopsis invicta],5.1E-25,100
Lneg_g01223_i1,Lneg_g01223,59.804,ref|XP_026830065.1|,uncharacterized protein LOC105282198 [Ooceraea biroi],9.05E-30,106
Lneg_g01224_i1,Lneg_g01224,58.955,ref|XP_025997365.1|,uncharacterized protein LOC105198298 [Solenopsis invicta],2.26E-51,166
Lneg_g01227_i1,Lneg_g01227,95.808,ref|XP_024883382.1|,pikachurin [Temnothorax curvispinosus],1.88E-106,327
Lneg_g01228_i1,Lneg_g01228,89.931,gb|KMQ92176.1|,ferric-chelate reductase 1-like protein [Lasius niger],0,791
Lneg_g01230_i1,Lneg_g01230,61.644,gb|KMQ88246.1|,hypothetical protein RF55_12298 [Lasius niger],2.22E-128,372
Lneg_g01231_i1,Lneg_g01231,94.88,ref|XP_039315606.1|,neurobeachin isoform X6 [Solenopsis invicta],0,4539
Lneg_g01232_i1,Lneg_g01232,57.088,ref|XP_024871122.1|,uncharacterized protein LOC112454126 [Temnothorax curvispinosus],1.83E-100,296
Lneg_g01233_i1,Lneg_g01233,28.324,ref|NP_660194.1|,aaRS-interacting multifunctional protein 3 [Drosophila melanogaster],7.23E-19,81.6
Lneg_g01234_i1,Lneg_g01234,77.143,ref|XP_011335076.1|,protein kinase C [Ooceraea biroi],0,1192
Lneg_g01235_i1,Lneg_g01235,99.464,gb|KMQ89727.1|,Papilin [Lasius niger],0,2632
Lneg_g01236_i1,Lneg_g01236,92.013,ref|XP_011160175.2|,protein SEC13 homolog [Solenopsis invicta],0,590
Lneg_g01237_i1,Lneg_g01237,85.644,ref|XP_012224988.1|,PREDICTED: helicase SKI2W [Linepithema humile],0,2130
Lneg_g01238_i1,Lneg_g01238,98.268,gb|KMR05008.1|,ribosomal rna processing 36-like protein [Lasius niger],4.8E-160,444
Lneg_g01240_i1,Lneg_g01240,83.197,ref|XP_011057908.1|,PREDICTED: sodium-dependent nutrient amino acid transporter 1-like [Acromyrmex echinatior],8.65E-147,421
Lneg_g01248_i1,Lneg_g01248,81.648,gb|KMR04607.1|,ras-related protein rab-39b [Lasius niger],4.76E-155,432
Lneg_g01249_i1,Lneg_g01249,76.458,ref|XP_011063861.1|,PREDICTED: uncharacterized protein LOC105151708 isoform X1 [Acromyrmex echinatior],0,690
Lneg_g01250_i6,Lneg_g01250,92.216,gb|KMQ95871.1|,serrate rna effector molecule-like protein [Lasius niger],0,1853
Lneg_g01251_i1,Lneg_g01251,64.706,ref|XP_024872631.1|,uncharacterized protein LOC112455127 [Temnothorax curvispinosus],4.73E-67,209
Lneg_g01252_i1,Lneg_g01252,58.586,ref|XP_024872495.1|,uncharacterized protein LOC112455040 [Temnothorax curvispinosus],3.94E-75,227
Lneg_g01253_i1,Lneg_g01253,100,ref|XP_025994753.1|,U6 snRNA-associated Sm-like protein LSm5 isoform X1 [Solenopsis invicta],1.45E-53,164
Lneg_g01255_i1,Lneg_g01255,73.585,ref|XP_011335131.1|,transmembrane protein 205 [Ooceraea biroi],5.08E-136,387
Lneg_g01256_i1,Lneg_g01256,100,gb|KMQ91304.1|,wd repeat-containing protein 68 [Lasius niger],0,725
Lneg_g01257_i1,Lneg_g01257,99.59,gb|KMQ91303.1|,pre-mrna-splicing factor spf27 [Lasius niger],0,499
Lneg_g01258_i2,Lneg_g01258,96.547,ref|XP_012235442.1|,PREDICTED: colorectal mutant cancer protein isoform X1 [Linepithema humile],0,1323
Lneg_g01259_i1,Lneg_g01259,75.385,ref|XP_024886660.1|,small integral membrane protein 4 [Temnothorax curvispinosus],2.58E-29,101
Lneg_g01260_i1,Lneg_g01260,80.357,ref|XP_025993233.1|,uncharacterized protein LOC113004366 [Solenopsis invicta],8.54E-29,99
Lneg_g01261_i1,Lneg_g01261,73.333,ref|XP_024886650.1|,uncharacterized protein LOC112464087 [Temnothorax curvispinosus],2.44E-29,101
Lneg_g01263_i1,Lneg_g01263,95.192,ref|XP_024885803.1|,uroporphyrinogen decarboxylase [Temnothorax curvispinosus],3.89E-69,215
Lneg_g01265_i1,Lneg_g01265,33.333,ref|XP_026825349.1|,uncharacterized protein LOC105284102 [Ooceraea biroi],6.87E-21,96.3
Lneg_g01266_i1,Lneg_g01266,91.045,ref|XP_024892205.1|,uncharacterized protein LOC112467709 [Temnothorax curvispinosus],0,774
Lneg_g01267_i1,Lneg_g01267,46.544,ref|XP_039307674.1|,uncharacterized protein LOC120358229 [Solenopsis invicta],4.31E-62,196
Lneg_g01272_i2,Lneg_g01272,74.172,ref|XP_011058127.1|,PREDICTED: biogenesis of lysosome-related organelles complex 1 subunit 6-like [Acromyrmex echinatior],8.69E-78,230
Lneg_g01273_i1,Lneg_g01273,98.21,gb|KMQ94431.1|,mterf domain-containing protein mitochondrial [Lasius niger],0,798
Lneg_g01274_i1,Lneg_g01274,92.746,ref|XP_012223663.1|,PREDICTED: endoplasmic reticulum-Golgi intermediate compartment protein 3 isoform X1 [Linepithema humile],0,759
Lneg_g01275_i1,Lneg_g01275,94.937,ref|XP_011162402.1|,reactive oxygen species modulator 1 [Solenopsis invicta],1.6E-48,150
Lneg_g01276_i3,Lneg_g01276,95.599,gb|KMQ94429.1|,maguk p55 subfamily member 6-like protein [Lasius niger],0,1106
Lneg_g01278_i1,Lneg_g01278,99.587,gb|KMQ96184.1|,f-box lrr-repeat protein 7 [Lasius niger],9.19E-176,499
Lneg_g01279_i1,Lneg_g01279,56.383,ref|XP_011170306.1|,uncharacterized protein LOC105203229 [Solenopsis invicta],6.95E-26,95.5
Lneg_g01281_i1,Lneg_g01281,82.353,gb|KMQ84247.1|,fatty acid synthase [Lasius niger],9.09E-68,213
Lneg_g01282_i1,Lneg_g01282,41.909,ref|XP_012230297.1|,PREDICTED: RCC1 and BTB domain-containing protein 1-like [Linepithema humile],1.07E-45,162
Lneg_g01284_i1,Lneg_g01284,67.708,ref|XP_039307329.1|,odorant receptor 49b-like [Solenopsis invicta],2.21E-39,136
Lneg_g01286_i1,Lneg_g01286,98.78,gb|KMQ83037.1|,cytochrome b-c1 complex subunit 8 [Lasius niger],4.5E-55,167
Lneg_g01287_i1,Lneg_g01287,79.902,ref|XP_024882723.1|,uncharacterized protein LOC112461637 [Temnothorax curvispinosus],4.22E-109,316
Lneg_g01290_i1,Lneg_g01290,46.067,ref|XP_039312007.1|,uncharacterized protein LOC120359252 [Solenopsis invicta],1.22E-20,83.6
Lneg_g01291_i1,Lneg_g01291,85.027,ref|XP_012234715.1|,PREDICTED: uncharacterized protein LOC105679342 isoform X4 [Linepithema humile],0,874
Lneg_g01293_i1,Lneg_g01293,38.71,ref|XP_024871876.1|,uncharacterized protein LOC112454612 [Temnothorax curvispinosus],5.29E-42,144
Lneg_g01294_i1,Lneg_g01294,60.55,gb|KMQ86012.1|,nuclease harbi1-like protein [Lasius niger],7.34E-37,132
Lneg_g01295_i2,Lneg_g01295,90.779,ref|XP_039307082.1|,patronin isoform X9 [Solenopsis invicta],0,1375
Lneg_g01298_i1,Lneg_g01298,46.429,ref|XP_026294833.1|,protamine-like [Apis mellifera],2.89E-11,59.3
Lneg_g01299_i1,Lneg_g01299,98.551,gb|KMQ94650.1|,group xiia secretory phospholipase a2 [Lasius niger],6.45E-153,424
Lneg_g01300_i1,Lneg_g01300,88.073,ref|XP_011157298.1|,glutaredoxin-C4 isoform X1 [Solenopsis invicta],9.37E-68,201
Lneg_g01301_i1,Lneg_g01301,40.704,ref|NP_001246278.1|,"gartenzwerg, isoform C [Drosophila melanogaster]",0,956
Lneg_g01302_i1,Lneg_g01302,86.179,ref|XP_012230645.1|,PREDICTED: zinc finger CCHC domain-containing protein 24-like [Linepithema humile],1.51E-156,436
Lneg_g01303_i1,Lneg_g01303,54.545,gb|KMQ90799.1|,hypothetical protein RF55_9408 [Lasius niger],1.14E-54,180
Lneg_g01307_i1,Lneg_g01307,70.916,ref|XP_024880906.1|,SPARC-related modular calcium-binding protein 2 [Temnothorax curvispinosus],1.71E-118,356
Lneg_g01308_i1,Lneg_g01308,65.789,gb|KMQ85449.1|,hypothetical protein RF55_16003 [Lasius niger],3.06E-09,53.1
Lneg_g01309_i1,Lneg_g01309,65.789,gb|KMQ85449.1|,hypothetical protein RF55_16003 [Lasius niger],4.81E-10,55.1
Lneg_g01318_i1,Lneg_g01318,40.541,ref|XP_024866994.1|,uncharacterized protein LOC112451568 [Temnothorax curvispinosus],3.47E-18,85.9
